,Stocks,Sector,Link
298,Castrol India,Energy,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
299,Central Bank Of India,Financial,https://www.livemint.com/market/s-p-bse-500-stocks-I0005
308,BLS International Services,Services,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
317,Central Depository Service India,Financial,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
318,Century Textiles & Industries,Basic Materials,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
319,Chambal Fertilisers & Chemical,Basic Materials,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
320,City Union Bank,Financial,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
321,Cochin Shipyard,Transportation,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
322,Computer Age Management Services,Financial,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
323,Creditaccess Grameen,Financial,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
325,Cyient,Technology,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
326,Data Patterns India,Capital Goods,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
327,Equitas Small Finance Bank,Financial,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
328,Exide Industries,Technology,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
329,Finolex Cables,Basic Materials,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
330,Firstsource Solutions,Technology,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
331,Five Star Business Finance,,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
332,Glenmark Pharmaceuticals,Healthcare,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
333,Global Health,,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
334,Graphite India,Technology,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
335,Great Eastern Shipping Company,Transportation,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
336,Gujarat Mineral Development Corp,Basic Materials,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
337,Gujarat Narmada Valley Fertilisers & Chemicals,Basic Materials,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
338,Gujarat State Petronet,Utilities,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
339,HFCL,Technology,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
340,Happiest Minds Technologies,Technology,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
341,Himadri Speciality Chemical,Basic Materials,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
342,Hindustan Copper,Basic Materials,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
343,Honasa Consumer,,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
344,Housing & Urban Development Corporation,Financial,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
345,IDFC,Financial,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
346,IIFL Finance,Financial,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
347,IRB Infrastructure Developers,Capital Goods,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
348,IRCON International,Capital Goods,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
349,ITI,Technology,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
350,Indiamart Intermesh,Consumer/Non-Cyclical,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
351,Indian Energy Exchange,Financial,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
353,Intellect Design Arena,Technology,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
354,JB Chemicals & Pharmaceuticals,Healthcare,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
355,JBM Auto,Consumer Cyclical,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
356,Jammu & Kashmir Bank,Financial,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
357,Jyothy Labs,Consumer/Non-Cyclical,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
358,KEC International,Capital Goods,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
359,Karur Vysya Bank,Financial,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
360,Mahanagar Gas,Utilities,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
361,Manappuram Finance,Financial,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
362,Mangalore Refinery & Petrochemicals,Energy,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
363,Multi Commodity Exchange Of India,Financial,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
364,NBCC India,Capital Goods,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
365,NCC,Capital Goods,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
366,NLC India,Utilities,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
367,NMDC Steel,,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
368,Narayana Hrudayalaya,Healthcare,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
369,Natco Pharma,Healthcare,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
370,National Aluminium Company,Basic Materials,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
371,Navin Fluorine International,Basic Materials,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
372,Nippon Life,Financial,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
373,Olectra Greentech,Technology,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
374,PNB Housing Finance,Financial,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
375,PVR Inox,Services,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
376,Piramal Pharma,,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
377,Praj Industries,Capital Goods,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
378,R R Kabel,,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
379,RBL Bank,Financial,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
380,RITES,Services,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
381,Radico Khaitan,Consumer/Non-Cyclical,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
382,Ramkrishna Forgings,Basic Materials,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
383,Raymond,Consumer Cyclical,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
384,Redington India,Technology,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
385,Shree Renuka Sugars,Consumer/Non-Cyclical,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
386,Shyam Metalics & Energy,Basic Materials,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
387,Sonata Software,Technology,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
388,Swan Energy,Capital Goods,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
389,Tanla Platforms,Services,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
390,Tata Investment Corporation,Financial,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
391,Tata Teleservices Maharashtra,Services,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
392,Tejas Networks,Technology,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
393,Titagarh Rail Systems,Transportation,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
394,Trident,Consumer Cyclical,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
395,Triveni Turbines,Capital Goods,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
396,UCO Bank,Financial,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
397,Ujjivan Small Finance Bank,Financial,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
398,Welspun Living,Consumer/Non-Cyclical,https://www.livemint.com/market/nifty-smallcap-100-stocks-I0022
